GDPC1,CPIAUCSL,UNRATE,PAYEMS,RRSFS,GFDEBTN,VIXCLS,prob_topic_1,prob_topic_2,prob_topic_3,prob_topic_4,prob_topic_5,prob_topic_6,sentiments,target
17197.276,236.983,5.8,140109.0,186206.0,18144981.33333333,13.33,3.275915503309079e-07,0.0018091745441779,0.9950559139251708,3.275915503309079e-07,0.0012043854221701,0.0019298625411465,0.2,0
17251.514,236.252,5.6,140377.0,185734.0,18148518.666666668,19.2,2.2104478603068858e-07,0.0032105157151818,0.9883639812469482,2.2104478603068858e-07,0.0003384154406376,0.0080866254866123,-0.1,-1
17305.752,234.747,5.7,140568.0,185779.0,18152056.0,20.97,1.7781699170882348e-06,1.7781699170882348e-06,0.0001025395831675,0.9998903274536132,1.7781699170882348e-06,1.7781699170882348e-06,0.1,0
17344.783,235.342,5.5,140839.0,184982.0,18152036.666666668,13.34,1.532096803202876e-06,1.532096803202876e-06,0.0066141285933554,0.9933797121047974,1.532096803202876e-06,1.532096803202876e-06,0.2,0
17383.814000000002,235.976,5.4,140910.0,187256.0,18152017.33333333,15.29,3.018733707449428e-07,0.0093462383374571,0.9163216352462769,0.0633121952414512,0.0014685188652947,0.0095511320978403,0.0,0
17422.845,236.222,5.4,141194.0,187366.0,18151998.0,14.55,1.7287729860981926e-06,1.7287729860981926e-06,0.0007653441862203,0.9992277026176452,1.7287729860981926e-06,1.7287729860981926e-06,0.0,1
17443.90366666667,237.001,5.6,141525.0,188272.0,18151538.0,13.84,3.355621913669893e-07,0.0044396701268851,0.9808133244514464,0.0008231641259044,0.001558071700856,0.0123654771596193,0.1,0
17464.962333333333,237.657,5.3,141699.0,188043.0,18151078.0,18.23,2.628848392305372e-07,0.0033891941420733,0.988537609577179,0.0016284245066344,0.0016179577214643,0.0048265224322676,-0.1,0
17486.021,238.034,5.2,142001.0,188951.0,18150618.0,12.12,1.0535166438785382e-05,0.0001678186963545,0.5676750540733337,0.4321255385875702,1.0535166438785382e-05,1.0535166438785382e-05,0.1,0
17495.368000000002,238.033,5.1,142126.0,189039.0,18407805.0,28.43,3.048970711461152e-07,0.0073296800255775,0.98456072807312,0.0016721719875931,0.0023074962664395,0.0041296784766018,0.0,0
